구분,유저/ 질문,챗봇/대답
바다,울산 시원,"시원한게 보고싶으신가요? 바다를 추천드려요! 울산에는 슬도, 주전몽돌해변, 나사 해수욕장, 강동몽돌해변,솔개해수욕장, 정자바닷가 등이 있어요!"
바다,울산 해수욕장,"울산의 해수욕장은 나사해수욕장, 솔개해수욕장, 정자바닷가 등이 있어요!"
바다,울산 바닷가,"울산의 바닷가는 주전몽돌해변, 나사해수욕장, 강동몽돌해변, 솔개해수욕장 등이 있어요!"
바다,울산 해안,"울산에 있는 해안은 나사해수욕장, 정자바닷가, 나사해수욕장 등이 있어요!"
바다,울산 해변,"울산에는 나사해수욕장, 솔개해수욕장, 정자바닷가 등 여러 해변이 있어요!"
계곡,울산 계곡,"작천정 계곡, 석남사 계곡, 배내골, 철구소 등이 있어요!"
계곡,울산 수영,"수영에는 계곡이 좋을거 같아요! 계곡은 작천정 계곡, 석남사 계곡, 배내골, 철구소 등이 있어요!"
계곡,울산 물놀이,"물놀이 하기에는 계곡이 좋을거 같아요! 울산에 계곡에는 작천정 계곡, 배내골, 철구소 등이 있어요!"
계곡,울산 하천,울산의 여러 하천은 작천정 배내골 철구소 등이 있어요
공원,울산 여가시간,"여가시간을 보내기에는 공원이 좋을거 같아요! 울산의 공원에는 대왕암 공원, 태화강 국가정원, 울산대공원, 학성공원, 공룡발자국공원, 간월재억새군락지, 십리대밭 등이 있어요!"
공원,울산 공원,"대왕암 공원, 태화강 국가정원, 울산대공원, 학성공원, 공룡발자국공원, 간월재억새군락지, 십리대밭 등이 있어요!"
공원,울산 걷기,"쾌적하게 산책하실수 있는 공원을 추천드릴게요! 울산에는 대왕암 공원, 태화강 국가정원, 울산대공원, 학성공원, 공룡발자국공원, 간월재억새군락지, 십리대밭 등이 있어요!"
공원,울산 휴식,"쉬고 싶으시다면 공원을 추천드려요! 울산의 공원에는 대왕암 공원, 태화강 국가정원, 울산대공원, 학성공원, 공룡발자국공원, 간월재억새군락지, 십리대밭 등이 있어요!"
박물관,울산 미술관,울산 시립미술관이 있어요!
박물관,울산 미술작품,미술작품을 감상하고 싶으시다면 울산시립미술관이 좋을거 같아요!
박물관,울산 박물관,"울산박물관, 울산 대곡박물관, 대곡박물관,세계 파충류체험박물관 등이 있어요! "
박물관,울산 유물,"여러 유물을 보기 위해서는 박물관이 제격이죠!  울산에는 울산박물관, 울산 대곡박물관, 세계 파충류체험박물관 등이 있어요! "
유적지,울산 유적지,"울산 유적지에는 울주 천전리 각석,울산왜성,언양읍성,반구대 암각화 등이 있어요!"
마을,울산 마을,"장생포고래문화마을, 쇠평어린이마을 등이 있어요!"
